fold,ma_fast,ma_slow,delta,train_score,test_return,test_sharpe,test_max_drawdown
1,5,50,60,0.0,0.0,-inf,0.0
2,5,50,60,0.0,0.0,-inf,0.0
3,5,50,60,0.0,0.003354453969436344,0.01641268145439059,-0.0011562125779410737
4,5,50,110,0.0,0.0,-inf,0.0
5,5,50,110,0.0,0.0,-inf,0.0
6,5,50,110,0.0,0.0,-inf,0.0
7,5,50,110,0.0,0.0,-inf,0.0
8,5,50,60,0.0,0.0,-inf,0.0
9,5,50,60,0.0,0.0,-inf,0.0
10,5,50,60,0.0,0.0,-inf,0.0
11,5,50,60,0.0,0.0,0.0,-0.0002633966460824366
12,5,50,110,0.0,0.0,-inf,0.0
13,5,50,110,0.0,0.0,-inf,0.0
14,5,50,60,0.0,0.0,-inf,0.0
15,5,50,60,0.0,0.0040944032625054305,0.004130360438448162,-0.01125018571032299
