fold,ma_fast,ma_slow,delta,train_score,test_return,test_sharpe,test_max_drawdown
1,40,450,10,0.019096711399548626,0.024368507194878264,0.008721398133757934,-0.0583043789635217
2,10,410,10,0.017891038683138676,0.0011211756067814882,0.0004355283905171207,-0.03357670084165787
3,20,120,10,0.01645002179854715,0.02341480342549973,0.015829075147976816,-0.014831909154119916
4,20,80,10,0.026033484959156295,-0.005289473759043095,-0.003446107895276012,-0.02720184626416433
5,30,110,60,0.020001217087627296,0.0,-inf,0.0
6,35,180,60,0.019674672458782468,0.0,-inf,0.0
7,15,130,10,0.02773895391208,-0.0009676587902474054,-0.0005990511582154671,-0.02235915002999045
8,20,160,10,0.02918879622926484,-0.015084589253651082,-0.008673121313622242,-0.033320593168238544
9,40,60,10,0.01515283150427142,-0.002320943958971755,-0.024800940441855584,-0.002320943958971755
10,15,300,10,0.015388959390594155,0.10113580228888641,0.018814049613629875,-0.062062882758738835
11,40,240,10,0.022253763084870613,-0.05429118541301459,-0.02125698398371366,-0.06284181499784769
12,20,110,10,0.024842992156036914,0.018347908629978926,0.010861509148288371,-0.013846845290992338
13,20,110,10,0.01919841516541963,0.013059140348542275,0.010841305481386726,-0.011515721998038075
14,20,380,10,0.015499863002733722,0.00334480776028645,0.001158753907722961,-0.02942262954349062
15,10,400,10,0.016455267516670136,0.011535968140776065,0.002288459040781523,-0.09224135554897361
