fold,ma_fast,ma_slow,delta,train_score,test_return,test_sharpe,test_max_drawdown
1,40,450,10,0.056276862826975194,0.024368507194878264,0.008721398133757934,-0.0583043789635217
2,10,410,10,0.08573109898839193,0.0011211756067814882,0.0004355283905171207,-0.03357670084165787
3,20,120,10,0.06134966986567991,0.02341480342549973,0.015829075147976816,-0.014831909154119916
4,20,200,10,0.056921041391903904,0.009514289033259571,0.0036920986016867924,-0.033053533353613274
5,10,280,10,0.05353898760379239,-0.0016681110219113338,-0.000945824025838224,-0.016046436601287795
6,10,330,10,0.0578179781808732,0.06760848488220783,0.024243982724052173,-0.02348952702520346
7,35,460,10,0.1332093109343202,-0.02180988760548397,-0.009311649543699126,-0.05807794501022301
8,20,160,10,0.11899576774318565,-0.015084589253651082,-0.008673121313622242,-0.033320593168238544
9,20,240,10,0.03275589550353897,0.021260824932723077,0.010966132823859935,-0.018684513470986208
10,15,300,10,0.06665743626200515,0.10113580228888641,0.018814049613629875,-0.062062882758738835
11,30,460,10,0.19016212458021897,-0.005963833545899022,-0.0019512723815767552,-0.03745679246764744
12,20,110,10,0.2072518168836075,0.018347908629978926,0.010861509148288371,-0.013846845290992338
13,20,110,10,0.0983280404870599,0.013059140348542275,0.010841305481386726,-0.011515721998038075
14,20,380,10,0.07167496211156954,0.00334480776028645,0.001158753907722961,-0.02942262954349062
15,10,400,10,0.09008547341530448,0.011535968140776065,0.002288459040781523,-0.09224135554897361
