,ticker1,ticker2,date
0,BRF4,BRG4,2023-12-29
1,BRG4,BRH4,2024-02-01
2,BRH4,BRJ4,2024-03-01
3,BRJ4,BRK4,2024-04-01
4,BRK4,BRM4,2024-05-01
5,BRM4,BRN4,2024-06-03
6,BRN4,BRQ4,2024-07-01
7,BRQ4,BRU4,2024-08-01
8,BRU4,BRV4,2024-09-02
9,BRV4,BRX4,2024-10-01
10,BRX4,BRZ4,2024-11-01
11,BRZ4,BRF5,2024-12-02
12,BRF5,BRG5,2025-01-03
13,BRG5,BRH5,2025-02-01
14,BRH5,BRJ5,2025-03-03
15,BRJ5,BRK5,2025-04-01
16,BRK5,BRM5,2025-05-01
17,BRM5,BRN5,2025-06-02
18,BRN5,BRQ5,2025-07-01
19,BRQ5,BRU5,2025-08-01
20,BRU5,BRV5,2025-09-01
21,BRV5,BRX5,2025-10-01
22,BRX5,BRZ5,2025-11-03
