,ticker1,ticker2,date
0,NGF4,NGG4,2024-01-29
1,NGG4,NGH4,2024-02-27
2,NGH4,NGJ4,2024-03-26
3,NGJ4,NGK4,2024-04-26
4,NGK4,NGM4,2024-05-29
5,NGM4,NGN4,2024-06-26
6,NGN4,NGQ4,2024-07-29
7,NGQ4,NGU4,2024-08-28
8,NGU4,NGV4,2024-09-26
9,NGV4,NGX4,2024-10-29
10,NGX4,NGZ4,2024-11-26
11,NGZ4,NGF5,2024-12-27
12,NGF5,NGG5,2025-01-29
13,NGG5,NGH5,2025-02-26
14,NGH5,NGJ5,2025-03-27
15,NGJ5,NGK5,2025-04-28
16,NGK5,NGM5,2025-05-28
17,NGM5,NGN5,2025-06-26
18,NGN5,NGQ5,2025-07-29
19,NGQ5,NGU5,2025-08-27
20,NGU5,NGV5,2025-09-26
21,NGV5,NGX5,2025-10-29
22,NGX5,NGZ5,2025-11-25
