,ticker1,ticker2,date
0,SuF4,SuG4,2023-09-22
1,SuG4,SuH4,2023-11-02
2,SuH4,SuJ4,2023-11-17
3,SuJ4,SuK4,2023-11-25
4,SuK4,SuM4,2024-01-20
5,SuM4,SuN4,2024-01-30
6,SuN4,SuQ4,2024-04-04
7,SuQ4,SuU4,2024-05-16
8,SuU4,SuV4,2024-07-13
9,SuV4,SuX4,2024-08-24
10,SuX4,SuZ4,2024-09-17
11,SuZ4,SuF5,2024-09-28
12,SuF5,SuG5,2024-10-01
13,SuG5,SuH5,2024-11-14
14,SuH5,SuJ5,2024-11-23
15,SuJ5,SuK5,2024-11-30
16,SuK5,SuM5,2025-01-28
17,SuM5,SuN5,2025-05-16
18,SuN5,SuQ5,2025-07-17
19,SuQ5,SuU5,2025-07-22
20,SuU5,SuV5,2025-08-12
21,SuV5,SuX5,2025-10-16
22,SuX5,SuZ5,2025-10-22
