,ticker1,ticker2,date
0,VIF4,VIG4,2024-01-19
1,VIG4,VIH4,2024-02-16
2,VIH4,VIJ4,2024-02-28
3,VIJ4,VIK4,2024-04-19
4,VIK4,VIM4,2024-05-17
5,VIM4,VIN4,2024-06-21
6,VIN4,VIQ4,2024-07-19
7,VIQ4,VIU4,2024-08-07
8,VIU4,VIV4,2024-09-10
9,VIV4,VIX4,2024-10-05
10,VIX4,VIZ4,2024-11-22
11,VIZ4,VIF5,2024-12-20
12,VIF5,VIG5,2025-01-17
13,VIG5,VIH5,2025-02-21
14,VIH5,VIJ5,2025-03-28
15,VIJ5,VIK5,2025-04-08
16,VIK5,VIM5,2025-05-16
17,VIM5,VIN5,2025-05-30
18,VIN5,VIQ5,2025-06-18
19,VIQ5,VIU5,2025-07-30
20,VIU5,VIV5,2025-08-23
21,VIV5,VIX5,2025-10-01
22,VIX5,VIZ5,2025-10-16
