,ticker1,ticker2,date
0,W4F4,W4G4,2023-07-21
1,W4G4,W4H4,2023-08-02
2,W4H4,W4J4,2023-12-14
3,W4J4,W4K4,2023-12-28
4,W4K4,W4M4,2024-01-10
5,W4M4,W4N4,2024-05-03
6,W4N4,W4Q4,2024-05-15
7,W4Q4,W4U4,2024-05-28
8,W4U4,W4V4,2024-07-12
9,W4V4,W4X4,2024-07-17
10,W4X4,W4Z4,2024-07-20
11,W4Z4,W4F5,2024-08-31
12,W4F5,W4G5,2024-10-05
13,W4G5,W4H5,2024-11-28
14,W4H5,W4J5,2025-03-12
15,W4J5,W4K5,2025-03-20
16,W4K5,W4M5,2025-03-26
17,W4M5,W4N5,2025-05-13
18,W4N5,W4Q5,2025-06-03
19,W4Q5,W4U5,2025-06-07
20,W4U5,W4V5,2025-06-18
21,W4V5,W4X5,2025-07-08
22,W4X5,W4Z5,2025-07-18
